CPO	REF	LAT NAP	LON NAP	LAT OSM	LON OSM	DIST (m)	LOCATION
EDP	LRS-00072	38.8045960	-9.0994470	38.8057660	-9.0999600	137.48	surface
EDP	EVR-00075	38.5549900	-7.9100110	38.5538178	-7.9104704	136.33	surface
FAC	SCR-00005	32.6923450	-16.7747920	32.6935225	-16.7744535	134.71	underground
EDP	LRS-00068	38.8047940	-9.0995370	38.8058744	-9.1002243	134.09	surface
EDP	CBT-00003	41.4595600	-8.0290000	41.4586675	-8.0300567	132.68	surface
EDP	LRS-00071	38.8046600	-9.0995580	38.8057981	-9.1000167	132.65	surface
EDP	LSB-00798	38.7546960	-9.1900280	38.7547585	-9.1885097	131.84	surface
EDP	LSB-00799	38.7546960	-9.1900280	38.7547599	-9.1885127	131.59	surface
EDP	LRS-00073	38.8045960	-9.0994470	38.8057184	-9.0998903	130.58	surface
EDP	CBT-00004	41.3881900	-7.9999000	41.3871617	-8.0006241	129.32	surface
EDP	LSB-00800	38.7546960	-9.1900280	38.7547097	-9.1885528	127.93	surface
EDP	LSB-00801	38.7546960	-9.1900280	38.7547117	-9.1885562	127.64	surface
EDP	LRS-00067	38.8048970	-9.0995570	38.8058896	-9.1002943	127.53	surface
EDP	LRS-00074	38.8045960	-9.0994470	38.8056876	-9.0998474	126.24	surface
EDP	BRG-00084	41.5489770	-8.4237260	41.5478540	-8.4238946	125.66	surface
EDP	LSB-00802	38.7546960	-9.1900280	38.7546612	-9.1885959	124.24	surface
ACC	SJP-00004	41.1636280	-7.4723440	41.1642487	-7.4735752	124.04	surface
EDP	LSB-00803	38.7546960	-9.1900280	38.7546631	-9.1885996	123.92	surface
EDP	LLE-00213	37.0820500	-8.1071960	37.0809574	-8.1070501	122.18	surface
MAK	LSB-00789	38.7110700	-9.1275210	38.7105201	-9.1263061	121.86	underground
HGP	CTM-00006	37.1759380	-7.4808598	37.1752618	-7.4819326	121.19	surface
EDP	LRS-00075	38.8045960	-9.0994470	38.8056508	-9.0997964	121.13	surface
ATL	LSB-00662	38.7496380	-9.1165590	38.7496001	-9.1179546	121.10	underground
MAK	LSB-00788	38.7110700	-9.1275210	38.7105052	-9.1263282	121.06	underground
HGP	CTM-00005	37.1759380	-7.4808598	37.1752631	-7.4819298	120.91	surface
EDP	LSB-00804	38.7546960	-9.1900280	38.7546128	-9.1886391	120.79	surface
EDP	LSB-00805	38.7546960	-9.1900280	38.7546146	-9.1886424	120.49	surface
EDP	SNT-00116	38.7655300	-9.2974550	38.7645091	-9.2969949	120.32	underground
MAK	LSB-00787	38.7110700	-9.1275210	38.7104907	-9.1263502	120.29	underground
EDP	CSC-00049	38.6783400	-9.3275200	38.6793061	-9.3269110	119.73	underground
MAK	LSB-00786	38.7110700	-9.1275210	38.7104757	-9.1263716	119.64	underground
MAK	PVZ-00013	41.3789830	-8.7595920	41.3780627	-8.7603190	118.96	underground
EDP	BRG-00037	41.5489430	-8.4237060	41.5478847	-8.4239087	118.88	surface
EDP	SNT-00146	38.8446580	-9.3220090	38.8450534	-9.3207442	118.03	surface
MAK	PVZ-00014	41.3789830	-8.7595920	41.3780632	-8.7602908	117.73	underground
EDP	LSB-00806	38.7546960	-9.1900280	38.7545642	-9.1886824	117.60	surface
EDP	LSB-00807	38.7546960	-9.1900280	38.7545661	-9.1886856	117.30	surface
MAK	PVZ-00015	41.3789830	-8.7595920	41.3780637	-8.7602619	116.50	underground
EDP	BRG-00036	41.5489230	-8.4236930	41.5479050	-8.4239158	114.70	surface
EDP	PVZ-00028	41.3780820	-8.7664740	41.3779746	-8.7651090	114.52	underground
MAK	LSB-00435	38.7239950	-9.1523620	38.7229853	-9.1521152	114.30	underground
