Station ID;OPC;EVSE ID;Connector Type;Charging Mode;Voltage (V);Max Current (A);Calculated Power (W);Claimed Power (W);Power Difference (W)
VEI-PRT-00211;VEI;PT*VEI*E*PRT*00211*02;iec62196T2COMBO;mode4DC;400.0;63.0;25200.0;60000.0;-34800.0
VEI-VCD-00040;VEI;PT*VEI*E*VCD*00040*01;chademo;mode4DC;400.0;63.0;25200.0;60000.0;-34800.0
VEI-VCD-00040;VEI;PT*VEI*E*VCD*00040*02;iec62196T2COMBO;mode4DC;400.0;63.0;25200.0;60000.0;-34800.0
HRZ-ACB-00010;HRZ;PT*HRZ*E*ACB*00010*04;iec62196T2COMBO;mode4DC;500.0;300.0;150000.0;180000.0;-30000.0
HRZ-ACB-00010;HRZ;PT*HRZ*E*ACB*00010*05;iec62196T2COMBO;mode4DC;500.0;300.0;150000.0;180000.0;-30000.0
HRZ-ALM-00060;HRZ;PT*HRZ*E*ALM*00060*01;iec62196T2COMBO;mode4DC;500.0;300.0;150000.0;180000.0;-30000.0
HRZ-ALM-00060;HRZ;PT*HRZ*E*ALM*00060*02;iec62196T2COMBO;mode4DC;500.0;300.0;150000.0;180000.0;-30000.0
HRZ-ALM-00061;HRZ;PT*HRZ*E*ALM*00061*01;iec62196T2COMBO;mode4DC;500.0;300.0;150000.0;180000.0;-30000.0
HRZ-ALM-00061;HRZ;PT*HRZ*E*ALM*00061*02;iec62196T2COMBO;mode4DC;500.0;300.0;150000.0;180000.0;-30000.0
REP-CTB-00074;REP;PT*REP*E18174*3;chademo;mode4DC;400.0;50.0;20000.0;50000.0;-30000.0
EDP-LSB-00316;EDP;PT*EDP*ELSB*00316*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-OVR-00005;EDP;PT*EDP*EOVR*00005*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-PNL-00002;EDP;PT*EDP*EPNL*00002*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-PRT-00074;EDP;PT*EDP*EPRT*00074*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-PRT-00075;EDP;PT*EDP*EPRT*00075*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-PRT-00076;EDP;PT*EDP*EPRT*00076*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-PRT-00077;EDP;PT*EDP*EPRT*00077*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-PRT-00078;EDP;PT*EDP*EPRT*00078*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
EDP-PRT-00079;EDP;PT*EDP*EPRT*00079*3;iec62196T2;mode2AC1p;400.0;63.0;15100.0;43000.0;-27900.0
